ÐòºÅ,self_density,log10_self_sp
766,0.053874727,-1.268614916
767,0.053939191,-1.268095571
768,0.054014722,-1.267487856
769,0.054025379,-1.26740218
770,0.054072835,-1.267020858
771,0.054133607,-1.266533037
772,0.054189792,-1.266082517
773,0.054460822,-1.26391581
774,0.054485421,-1.263719691
775,0.054489143,-1.263690023
776,0.054515663,-1.263478702
777,0.054590704,-1.262881304
778,0.0546259,-1.262601391
779,0.054681849,-1.262156806
780,0.054764966,-1.261497178
781,0.054781652,-1.261364875
782,0.054810053,-1.261139778
783,0.054926806,-1.260215651
784,0.055022819,-1.259457162
785,0.055062921,-1.259140752
786,0.055094982,-1.258887955
787,0.055117369,-1.258711519
788,0.055185654,-1.258173807
789,0.055278733,-1.257441918
790,0.055309727,-1.257198486
791,0.055351916,-1.256867339
792,0.055479086,-1.255870705
793,0.055501891,-1.255692221
794,0.055601943,-1.254910034
795,0.055690368,-1.254219912
796,0.055739536,-1.253836649
797,0.056163271,-1.250547603
798,0.056184566,-1.250382968
799,0.056242837,-1.249932779
800,0.056319571,-1.249340664
801,0.056523643,-1.247769853
802,0.056526541,-1.247747591
803,0.056526922,-1.247744661
804,0.056528334,-1.247733815
805,0.056605186,-1.247143781
806,0.056664794,-1.246686688
807,0.056694117,-1.246462007
808,0.056763068,-1.245934142
809,0.056816543,-1.245525196
810,0.056896797,-1.244912181
811,0.05706755,-1.243610773
812,0.057076071,-1.243545931
813,0.057114659,-1.24325241
814,0.057152876,-1.242961913
815,0.057197734,-1.242621174
816,0.057340455,-1.241538862
817,0.057353578,-1.241439486
818,0.057382362,-1.241221575
819,0.057503389,-1.240306556
820,0.057530143,-1.240104544
821,0.057545798,-1.239986385
822,0.057603565,-1.239550639
823,0.057893568,-1.237369685
824,0.058291336,-1.234395993
825,0.0583562,-1.233912995
826,0.058388025,-1.233676214
827,0.058431451,-1.233353332
828,0.058490859,-1.232912
829,0.058495348,-1.232878674
830,0.058521326,-1.232685843
831,0.058583485,-1.232224795
832,0.058619829,-1.23195545
833,0.058805992,-1.230578419
834,0.058831663,-1.230388878
835,0.059039635,-1.228856337
836,0.059061855,-1.228692917
